회사명,주관사,상장일,공모가,(수정)공모가,상장일,,,,1개월,,3개월,,6개월,,1년,,최근거래일 (2023-04-28),
,,,,,시가,등락률,종가,등락률,주가,등락률,주가,등락률,주가,등락률,주가,등락률,주가,등락률
토마토시스템,교보증권㈜,2023-04-27,"18,200","18,200","18,100",-0.5,"14,650",-19.5,0,0,0,0,0,0,0,0,"14,070",-22.7
마이크로투나노,한국투자증권㈜,2023-04-26,"15,500","15,500","25,200",62.6,"20,650",33.2,0,0,0,0,0,0,0,0,"20,200",30.3
SK오션플랜트,"한국투자증권㈜,삼성증권㈜",2023-04-19,0,0,"22,000",0,"21,800",0,0,0,0,0,0,0,0,0,"19,590",0
미래에셋비전스팩3호,미래에셋증권 주식회사,2023-04-07,"2,000","2,000","2,005",0.3,"2,005",0.3,0,0,0,0,0,0,0,0,"2,090",4.5
IBKS제22호스팩,IBK투자증권㈜,2023-04-06,"2,000","2,000","2,055",2.8,"2,090",4.5,0,0,0,0,0,0,0,0,"2,170",8.5
하나27호스팩,하나증권주식회사,2023-04-06,"2,000","2,000","2,000",0,"2,005",0.3,0,0,0,0,0,0,0,0,"2,070",3.5
지아이이노베이션,"엔에이치투자증권주식회사,하나증권주식회사,삼성증권㈜",2023-03-30,"13,000","13,000","18,950",45.8,"20,250",55.8,0,0,0,0,0,0,0,0,"20,900",60.8
LB인베스트먼트,미래에셋증권 주식회사,2023-03-29,"5,100","5,100","6,500",27.5,"8,450",65.7,0,0,0,0,0,0,0,0,"5,620",10.2
유안타제12호스팩,유안타증권㈜,2023-03-17,"2,000","2,000","1,997",-0.2,"1,998",-0.1,"2,010",0.5,0,0,0,0,0,0,"2,055",2.8
미래에셋드림스팩1호,미래에셋증권 주식회사,2023-03-15,"10,000","10,000","9,370",-6.3,"9,410",-5.9,"9,430",-5.7,0,0,0,0,0,0,"9,490",-5.1
금양그린파워,삼성증권㈜,2023-03-13,"10,000","10,000","19,000",90,"16,200",62,"22,850",128.5,0,0,0,0,0,0,"17,870",78.7
엔에이치스팩28호,엔에이치투자증권주식회사,2023-03-09,"2,000","2,000","2,100",5,"2,100",5,"2,080",4,0,0,0,0,0,0,"2,175",8.8
자람테크놀로지,신영증권㈜,2023-03-07,"22,000","22,000","44,000",100,"42,700",94.1,"48,300",119.5,0,0,0,0,0,0,"31,250",42
하나26호스팩,하나증권주식회사,2023-03-07,"2,000","2,000","2,000",0,"1,999",-0.1,"2,010",0.5,0,0,0,0,0,0,"2,060",3
나노팀,한국투자증권㈜,2023-03-03,"13,000","13,000","26,000",100,"29,800",129.2,"36,900",183.8,0,0,0,0,0,0,"25,700",97.7
바이오인프라,DB금융투자주식회사,2023-03-02,"21,000","21,000","42,000",100,"29,400",40,"24,300",15.7,0,0,0,0,0,0,"21,450",2.1
삼성스팩8호,삼성증권㈜,2023-03-02,"10,000","10,000","10,100",1,"9,980",-0.2,"9,740",-2.6,0,0,0,0,0,0,"9,740",-2.6
유안타제13호스팩,유안타증권㈜,2023-02-28,"2,000","2,000","2,010",0.5,"1,999",-0.1,"1,999",-0.1,0,0,0,0,0,0,"2,015",0.8
미래에셋비전스팩2호,미래에셋증권 주식회사,2023-02-24,"2,000","2,000","4,000",100,"2,800",40,"2,035",1.8,0,0,0,0,0,0,"2,070",3.5
이노진,IBK투자증권㈜,2023-02-20,"3,000","3,000","6,000",100,"7,800",160,"4,350",45,0,0,0,0,0,0,"3,640",21.3
제이오,한국투자증권㈜,2023-02-16,"13,000","13,000","19,900",53.1,"21,500",65.4,"27,450",111.2,0,0,0,0,0,0,"29,950",130.4
샌즈랩,키움증권㈜,2023-02-15,"10,500","10,500","21,000",100,"24,900",137.1,"16,560",57.7,0,0,0,0,0,0,"13,800",31.4
꿈비,키움증권㈜,2023-02-09,"5,000","5,000","10,000",100,"13,000",160,"26,750",435,0,0,0,0,0,0,"19,700",294
스튜디오미르,미래에셋증권 주식회사,2023-02-07,"19,500","19,500","39,000",100,"50,700",160,"41,300",111.8,0,0,0,0,0,0,"36,950",89.5
삼기이브이,대신증권㈜,2023-02-03,"11,000","11,000","22,000",100,"26,850",144.1,"20,900",90,0,0,0,0,0,0,"19,060",73.3
오브젠,한국투자증권㈜,2023-01-30,"18,000","18,000","36,000",100,"46,800",160,"63,400",252.2,0,0,0,0,0,0,"40,950",127.5
미래반도체,신한투자증권 주식회사,2023-01-27,"6,000","6,000","12,000",100,"15,600",160,"18,000",200,"27,000",350,0,0,0,0,"21,000",250
티이엠씨,한화투자증권㈜,2023-01-19,"28,000",0,"27,950",0,"28,100",0,"37,250",0,"42,500",0,0,0,0,0,"40,850",0
한주라이트메탈,"미래에셋증권 주식회사,현대차증권주식회사",2023-01-19,"3,100",0,"4,115",0,"5,340",0,"4,350",0,"6,910",0,0,0,0,0,"5,570",0
신영스팩9호,신영증권㈜,2022-12-27,"2,000","2,000","1,985",-0.8,"1,985",-0.8,"2,040",2,"2,045",2.3,0,0,0,0,"2,110",5.5
바이오노트,"한국투자증권㈜,엔에이치투자증권주식회사",2022-12-22,"9,000","9,000","9,980",10.9,"10,650",18.3,"8,900",-1.1,"6,680",-25.8,0,0,0,0,"6,180",-31.3
비엔케이제1호스팩,㈜비엔케이투자증권,2022-12-22,"2,000","2,000","1,980",-1,"1,985",-0.8,"2,025",1.3,"2,020",1,0,0,0,0,"2,085",4.3
IBKS제21호스팩,IBK투자증권㈜,2022-12-16,"2,000","2,000","2,015",0.8,"2,000",0,"2,100",5,"2,135",6.8,0,0,0,0,"2,155",7.8
엔에이치스팩27호,엔에이치투자증권주식회사,2022-12-16,"2,000","2,000","1,990",-0.5,"1,980",-1,"2,015",0.8,"2,030",1.5,0,0,0,0,"2,100",5
SAMG엔터,엔에이치투자증권주식회사,2022-12-06,"17,000","17,000","18,050",6.2,"23,450",37.9,"31,650",86.2,"38,000",123.5,0,0,0,0,"28,800",69.4
대신밸런스제14호스팩,대신증권㈜,2022-12-05,"2,000","2,000","1,985",-0.8,"1,995",-0.3,"2,035",1.8,"2,290",14.5,0,0,0,0,"2,380",19
엔에이치스팩26호,엔에이치투자증권주식회사,2022-12-01,"2,000","2,000","1,995",-0.3,"1,980",-1,"1,990",-0.5,"2,075",3.8,0,0,0,0,"2,100",5
유진스팩9호,유진투자증권㈜,2022-12-01,"2,000","2,000","2,000",0,"1,985",-0.8,"2,040",2,"2,140",7,0,0,0,0,"2,125",6.3
대신밸런스제13호스팩,대신증권㈜,2022-11-28,"2,000","2,000","2,000",0,"2,000",0,"2,020",1,"2,250",12.5,0,0,0,0,"2,440",22
펨트론,하나증권주식회사,2022-11-24,"8,000","8,000","9,820",22.8,"9,210",15.1,"6,400",-20,"7,860",-1.8,0,0,0,0,"9,690",21.1
인벤티지랩,한국투자증권㈜,2022-11-22,"12,000","12,000","12,750",6.3,"14,950",24.6,"10,150",-15.4,"10,340",-13.8,0,0,0,0,"10,040",-16.3
엔젯,미래에셋증권 주식회사,2022-11-18,"10,000","10,000","9,000",-10,"10,850",8.5,"10,900",9,"16,300",63,0,0,0,0,"23,450",134.5
유비온,미래에셋증권 주식회사,2022-11-18,"2,000","2,000","1,850",-7.5,"1,745",-12.8,"1,360",-32,"1,644",-17.8,0,0,0,0,"1,446",-27.7
티쓰리,미래에셋증권 주식회사,2022-11-17,"1,700",0,"2,445",0,"2,085",0,"1,825",0,"1,988",0,0,0,0,0,"1,764",0
티에프이,IBK투자증권㈜,2022-11-17,"10,500","10,500","10,000",-4.8,"9,260",-11.8,"8,310",-20.9,"8,400",-20,0,0,0,0,"8,650",-17.6
윤성에프앤씨,미래에셋증권 주식회사,2022-11-14,"49,000","49,000","44,100",-10,"40,450",-17.4,"43,300",-11.6,"53,600",9.4,0,0,0,0,"153,000",212.2
디티앤씨알오,키움증권㈜,2022-11-11,"17,000","8,500","7,850",-7.6,"6,925",-18.5,"5,000",-41.2,"5,570",-34.5,0,0,0,0,"5,370",-36.8
뉴로메카,대신증권㈜,2022-11-04,"16,900","16,900","24,250",43.5,"21,050",24.6,"15,850",-6.2,"23,200",37.3,0,0,0,0,"29,950",77.2
제이아이테크,미래에셋증권 주식회사,2022-11-04,"16,000","16,000","14,400",-10,"11,900",-25.6,"10,450",-34.7,"10,870",-32.1,0,0,0,0,"15,700",-1.9
LX세미콘,KB증권㈜,2022-11-03,0,0,"80,700",0,"82,700",0,"87,700",0,"79,200",0,0,0,0,0,"105,100",0
엔에이치스팩25호,엔에이치투자증권주식회사,2022-11-03,"2,000","2,000","2,110",5.5,"2,175",8.8,"2,150",7.5,"2,215",10.8,0,0,0,0,"2,340",17
케이비제23호스팩,KB증권㈜,2022-11-03,"2,000","2,000","1,945",-2.8,"1,940",-3,"1,975",-1.3,"2,005",0.3,0,0,0,0,"2,045",2.3
교보13호스팩,교보증권㈜,2022-11-02,"2,000","2,000","2,000",0,"1,975",-1.3,"1,990",-0.5,"2,015",0.8,0,0,0,0,"2,105",5.3
큐알티,미래에셋증권 주식회사,2022-11-02,"44,000","14,687","14,354",-2.3,"12,801",-12.8,"11,550",-21.4,"11,630",-20.8,0,0,0,0,"12,690",-13.6
IBKS제20호스팩,IBK투자증권㈜,2022-10-28,"2,000","2,000","2,020",1,"2,010",0.5,"2,020",1,"2,090",4.5,"2,160",8,0,0,"2,165",8.3
저스템,미래에셋증권 주식회사,2022-10-28,"10,500","10,500","11,000",4.8,"12,400",18.1,"8,880",-15.4,"9,140",-13,"17,310",64.9,0,0,"16,290",55.1
산돌,KB증권㈜,2022-10-27,"18,800","18,800","24,150",28.5,"20,850",10.9,"14,500",-22.9,"13,550",-27.9,"13,710",-27.1,0,0,"12,150",-35.4
삼성스팩7호,삼성증권㈜,2022-10-26,"10,000","10,000","17,150",71.5,"14,100",41,"11,000",10,"10,100",1,"9,770",-2.3,0,0,"9,740",-2.6
플라즈맵,미래에셋증권 주식회사,2022-10-21,"7,000","7,000","8,420",20.3,"6,700",-4.3,"6,860",-2,"6,150",-12.1,"6,150",-12.1,0,0,"5,670",-19
엔에이치스팩24호,엔에이치투자증권주식회사,2022-10-20,"2,000","2,000","2,060",3,"2,055",2.8,"2,040",2,"2,065",3.3,0,0,0,0,"2,180",9
핀텔,대신증권㈜,2022-10-20,"8,900","8,900","15,300",71.9,"10,850",21.9,"11,050",24.2,"7,120",-20,"7,300",-18,0,0,"6,330",-28.9
하나금융25호스팩,하나증권주식회사,2022-10-20,"10,000","10,000","9,900",-1,"9,760",-2.4,"9,540",-4.6,"9,630",-3.7,"9,740",-2.6,0,0,"9,780",-2.2
한국제11호스팩,한국투자증권㈜,2022-10-20,"2,000","2,000","2,045",2.3,"2,035",1.8,"2,005",0.3,"2,030",1.5,0,0,0,0,"2,790",39.5
샤페론,엔에이치투자증권주식회사,2022-10-19,"5,000","5,000","9,000",80,"8,630",72.6,"8,070",61.4,"7,390",47.8,"6,150",23,0,0,"5,460",9.2
탑머티리얼,한국투자증권㈜,2022-10-18,"30,000",0,"33,500",0,"37,000",0,"45,450",0,"32,050",0,"80,000",0,0,0,"59,400",0
에스비비테크,미래에셋증권 주식회사,2022-10-17,"12,400","12,400","23,900",92.7,"31,050",150.4,"24,750",99.6,"20,250",63.3,"64,500",420.2,0,0,"42,400",241.9
오에스피,대신증권㈜,2022-10-14,"8,400","8,400","10,850",29.2,"10,050",19.6,"6,840",-18.6,"5,180",-38.3,"7,490",-10.8,0,0,"6,010",-28.5
모델솔루션,KB증권㈜,2022-10-07,"27,000","27,000","29,500",9.3,"30,900",14.4,"22,850",-15.4,"17,150",-36.5,"26,300",-2.6,0,0,"20,100",-25.6
이노룰스,엔에이치투자증권주식회사,2022-10-07,"12,500","12,500","13,150",5.2,"15,850",26.8,"13,150",5.2,"9,130",-27,"12,180",-2.6,0,0,"9,180",-26.6
SK증권제8호스팩,SK증권㈜,2022-10-06,"2,000","2,000","2,120",6,"2,140",7,"2,025",1.3,"2,070",3.5,"2,170",8.5,0,0,"2,200",10
유안타제10호스팩,유안타증권㈜,2022-10-06,"2,000","2,000","2,050",2.5,"2,065",3.3,"1,990",-0.5,"2,000",0,"2,015",0.8,0,0,"2,070",3.5
선바이오,하나증권주식회사,2022-10-05,"11,000","11,000","12,050",9.5,"10,600",-3.6,"9,610",-12.6,"12,150",10.5,"9,130",-17,0,0,"11,900",8.2
더블유씨피,"신한투자증권 주식회사,KB증권㈜",2022-09-30,"60,000","60,000","54,000",-10,"41,700",-30.5,"49,850",-16.9,"43,800",-27,"43,000",-28.3,0,0,"46,000",-23.3
알피바이오,한국투자증권㈜,2022-09-29,"13,000","13,000","19,300",48.5,"18,300",40.8,"11,050",-15,"13,400",3.1,"13,300",2.3,0,0,"12,560",-3.4
하나금융24호스팩,하나증권주식회사,2022-09-29,"2,000","2,000","2,085",4.3,"2,080",4,"2,025",1.3,"2,000",0,"2,055",2.8,0,0,"2,065",3.3
한화플러스제3호스팩,한화투자증권㈜,2022-09-29,"2,000","2,000","2,110",5.5,"2,125",6.3,"2,030",1.5,"2,025",1.3,"2,015",0.8,0,0,"2,040",2
오픈엣지테크놀로지,삼성증권㈜,2022-09-26,"10,000","10,000","10,800",8,"10,050",0.5,"9,600",-4,"9,220",-7.8,"23,050",130.5,0,0,"17,350",73.5
케이비제22호스팩,KB증권㈜,2022-09-22,"2,000","2,000","2,105",5.3,"2,110",5.5,"2,045",2.3,"2,000",0,"2,085",4.3,0,0,"2,095",4.8
하나금융23호스팩,하나증권주식회사,2022-09-15,"2,000","2,000","2,120",6,"2,110",5.5,"2,065",3.3,"2,000",0,"2,105",5.3,0,0,"2,230",11.5
키움제7호스팩,키움증권㈜,2022-09-07,"2,000","2,000","2,110",5.5,"2,120",6,"2,100",5,"2,005",0.3,"2,065",3.3,0,0,"2,085",4.3
IBKS19호스팩,IBK투자증권㈜,2022-08-26,"2,000","2,000","2,095",4.8,"2,095",4.8,"2,215",10.8,"2,025",1.3,"2,195",9.8,0,0,"2,215",10.8
신영스팩8호,신영증권㈜,2022-08-26,"2,000","2,000","2,105",5.3,"2,105",5.3,"2,110",5.5,"1,995",-0.3,"2,130",6.5,0,0,"2,100",5
대성하이텍,신한투자증권 주식회사,2022-08-22,"9,000",0,"13,000",0,"14,600",0,"12,100",0,"9,050",0,"9,400",0,0,0,"10,930",0
쏘카,미래에셋증권 주식회사,2022-08-22,"28,000","28,000","28,000",0,"26,300",-6.1,"18,550",-33.8,"17,550",-37.3,"21,000",-25,0,0,"18,070",-35.5
에이치와이티씨,신영증권㈜,2022-08-09,"15,000","15,000","14,700",-2,"15,850",5.7,"16,000",6.7,"12,950",-13.7,"9,800",-34.7,0,0,"9,850",-34.3
새빗켐,한국투자증권㈜,2022-08-04,"35,000","35,000","70,000",100,"72,500",107.1,"174,200",397.7,"119,200",240.6,"90,100",157.4,0,0,"89,800",156.6
유안타제9호스팩,유안타증권㈜,2022-08-04,"2,000","2,000","2,090",4.5,"2,090",4.5,"2,095",4.8,"2,005",0.3,"2,060",3,0,0,"2,105",5.3
수산인더스트리,삼성증권㈜,2022-08-01,"35,000","35,000","33,000",-5.7,"32,500",-7.1,"32,450",-7.3,"23,100",-34,"24,850",-29,0,0,"22,100",-36.9
신한제10호스팩,신한투자증권 주식회사,2022-07-29,"2,000","2,000","2,150",7.5,"2,145",7.3,"2,135",6.8,"2,040",2,"2,035",1.8,0,0,"2,090",4.5
아이씨에이치,삼성증권㈜,2022-07-29,"34,000","11,338","10,205",-10,"9,004",-20.6,"7,987",-29.6,"7,287",-35.7,"6,750",-40.5,0,0,"6,640",-41.4
성일하이텍,"대신증권㈜,KB증권㈜",2022-07-28,"50,000","50,000","99,900",99.8,"88,200",76.4,"115,100",130.2,"124,700",149.4,"96,800",93.6,0,0,"136,400",172.8
에이프릴바이오,엔에이치투자증권주식회사,2022-07-28,"16,000","16,000","19,500",21.9,"21,850",36.6,"20,400",27.5,"11,350",-29.1,"17,250",7.8,0,0,"22,200",38.8
루닛,엔에이치투자증권주식회사,2022-07-21,"30,000","30,000","30,800",2.7,"40,000",33.3,"39,300",31,"20,700",-31,"32,400",8,0,0,"52,800",76
HPSP,엔에이치투자증권주식회사,2022-07-15,"25,000","6,250","12,500",100,"10,813",73,"14,950",139.2,"12,850",105.6,"13,875",122,0,0,"21,500",244
대신밸런스제12호스팩,대신증권㈜,2022-07-14,"2,000","2,000","2,170",8.5,"2,135",6.8,"2,135",6.8,"2,175",8.8,"2,770",38.5,0,0,"2,580",29
영창케미칼,하나증권주식회사,2022-07-14,"18,600","18,600","18,400",-1.1,"16,450",-11.6,"13,900",-25.3,"12,250",-34.1,"11,850",-36.3,0,0,"12,440",-33.1
코난테크놀로지,한국투자증권㈜,2022-07-07,"25,000","25,000","35,300",41.2,"30,600",22.4,"25,850",3.4,"25,150",0.6,"27,350",9.4,0,0,"82,000",228
넥스트칩,대신증권㈜,2022-07-01,"13,000","13,000","17,150",31.9,"14,300",10,"12,350",-5,"13,650",5,"7,670",-41,0,0,"10,130",-22.1
삼성스팩6호,삼성증권㈜,2022-06-30,"2,000","2,000","4,000",100,"5,200",160,"6,710",235.5,"4,795",139.8,"3,060",53,0,0,"2,995",49.8
엔에이치스팩23호,엔에이치투자증권주식회사,2022-06-28,"2,000","2,000","2,085",4.3,"2,090",4.5,"2,145",7.3,"2,170",8.5,0,0,0,0,"2,015",0.8
교보12호스팩,교보증권㈜,2022-06-24,"2,000","2,000","2,075",3.8,"2,070",3.5,"2,140",7,"2,125",6.3,"1,990",-0.5,0,0,"2,065",3.3
레이저쎌,삼성증권㈜,2022-06-24,"16,000","16,000","20,600",28.8,"17,350",8.4,"13,250",-17.2,"8,360",-47.8,"7,230",-54.8,0,0,"6,780",-57.6
보로노이,"한국투자증권㈜,미래에셋증권 주식회사",2022-06-24,"40,000",0,"36,000",0,"29,350",0,"37,700",0,"30,250",0,"33,400",0,0,0,"52,000",0
위니아에이드,신한투자증권 주식회사,2022-06-23,"16,200","16,200","14,600",-9.9,"11,000",-32.1,"9,720",-40,"7,570",-53.3,"6,960",-57,0,0,"5,950",-63.3
케이비제21호스팩,KB증권㈜,2022-06-23,"2,000","2,000","2,100",5,"2,100",5,"2,125",6.3,"2,135",6.8,"1,990",-0.5,0,0,"2,045",2.3
비플라이소프트,IBK투자증권㈜,2022-06-20,"10,000","2,000","2,100",5,"1,810",-9.5,"2,230",11.5,"1,265",-36.8,"1,005",-49.8,0,0,"1,080",-46
범한퓨얼셀,"한국투자증권㈜,엔에이치투자증권주식회사",2022-06-17,"40,000","40,000","41,000",2.5,"47,950",19.9,"28,650",-28.4,"33,400",-16.5,"26,400",-34,0,0,"27,800",-30.5
청담글로벌,"대신증권㈜,KB증권㈜",2022-06-03,"6,000","6,000","6,500",8.3,"7,640",27.3,"11,250",87.5,"8,660",44.3,"8,340",39,0,0,"8,980",49.7
하나금융22호스팩,하나증권주식회사,2022-05-26,"2,000","2,000","2,160",8,"2,155",7.8,"2,120",6,"2,120",6,"2,030",1.5,0,0,"2,200",10
가온칩스,대신증권㈜,2022-05-20,"14,000","14,000","24,150",72.5,"27,100",93.6,"31,000",121.4,"27,600",97.1,"20,350",45.4,0,0,"25,450",81.8
대명에너지,"한국투자증권㈜,삼성증권㈜",2022-05-16,"15,000","15,000","15,450",3,"13,950",-7,"17,650",17.7,"18,650",24.3,"21,550",43.7,0,0,"24,400",62.7
상상인제3호스팩,㈜상상인증권,2022-04-29,"2,000","2,000","2,155",7.8,"2,150",7.5,"2,160",8,"2,135",6.8,"2,010",0.5,0,0,"2,125",6.3
신영스팩7호,신영증권㈜,2022-04-28,"2,000","2,000","2,295",14.8,"2,270",13.5,"2,215",10.8,"2,165",8.3,"2,060",3,"2,155",7.8,"2,180",9
포바이포,미래에셋증권 주식회사,2022-04-28,"17,000","17,000","34,000",100,"44,200",160,"25,450",49.7,"23,750",39.7,"11,200",-34.1,"15,150",-10.9,"13,260",-22
신한제9호스팩,신한투자증권 주식회사,2022-04-27,"2,000","2,000","2,240",12,"2,255",12.8,"2,190",9.5,"2,165",8.3,"2,045",2.3,"2,085",4.3,"2,100",5
미래에셋비전스팩1호,미래에셋증권 주식회사,2022-04-21,"2,000","2,000","2,270",13.5,"2,295",14.8,"2,185",9.3,"2,155",7.8,"2,075",3.8,"2,090",4.5,"2,085",4.3
키움제6호스팩,키움증권㈜,2022-04-07,"2,000","2,000","2,180",9,"2,215",10.8,"2,780",39,"2,220",11,"2,165",8.3,"2,135",6.8,"2,180",9
지투파워,"한국투자증권㈜,KB증권㈜",2022-04-01,"16,400","3,320","6,639",100,"7,135",114.9,"4,433",33.5,"7,935",139,"7,560",127.7,"9,700",192.2,"11,040",232.6
